trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.002, 'e': 0.95}",20,0,-100.08083739397239,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
2,False,"{'a': 0.002, 'e': 0.8999999999999999}",20,0,-81.85242302721463,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
3,False,"{'a': 0.002, 'e': 0.8499999999999999}",30,0,-71.74761468289637,"{0: 21, 1: 3, 2: 4, 3: 2, 4: 0}",0
4,False,"{'a': 0.002, 'e': 0.7999999999999998}",25,0,-248.91175219404963,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 5}",0
5,False,"{'a': 0.002, 'e': 0.7499999999999998}",25,0,-149.26740842072493,"{0: 13, 1: 3, 2: 7, 3: 0, 4: 2}",0
6,False,"{'a': 0.002, 'e': 0.6999999999999997}",25,0,-118.5495287222206,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
7,False,"{'a': 0.002, 'e': 0.6499999999999997}",25,0,-111.21532994524128,"{0: 20, 1: 1, 2: 0, 3: 2, 4: 2}",0
8,False,"{'a': 0.002, 'e': 0.5999999999999996}",20,0,9.851996017477667,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
9,False,"{'a': 0.002, 'e': 0.5499999999999996}",20,0,-52.4669629958618,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",0
10,False,"{'a': 0.002, 'e': 0.4999999999999996}",20,10,-1.7657524978854966,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
11,False,"{'a': 0.002, 'e': 0.4499999999999996}",20,0,3.4895013876148244,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
12,False,"{'a': 0.002, 'e': 0.39999999999999963}",25,0,-47.82276775255971,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
13,False,"{'a': 0.002, 'e': 0.34999999999999964}",30,0,-41.326387738175946,"{0: 27, 1: 0, 2: 1, 3: 1, 4: 1}",0
14,False,"{'a': 0.002, 'e': 0.29999999999999966}",30,0,-41.31074808426175,"{0: 23, 1: 1, 2: 5, 3: 1, 4: 0}",0
15,False,"{'a': 0.002, 'e': 0.24999999999999967}",20,2,-9.85496602314166,"{0: 15, 1: 2, 2: 0, 3: 1, 4: 0}",1
16,False,"{'a': 0.002, 'e': 0.19999999999999968}",35,16,11.950867591943672,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 0}",1
17,False,"{'a': 0.002, 'e': 0.1499999999999997}",30,18,9.922532604376807,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
18,False,"{'a': 0.002, 'e': 0.09999999999999969}",25,0,23.07353123429686,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",1
19,False,"{'a': 0.002, 'e': 0.049999999999999684}",20,5,24.65908863304799,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.002, 'e': -3.191891195797325e-16}",35,26,15.50136056925998,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,0,27.453888145108273,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",30,10,37.10325714385413,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",30,12,29.58182484292906,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,8,17.513319700810666,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,0,24.688355570760315,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",25,11,31.652401957264775,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,13,23.613721982720513,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,14,-7.961086854472569,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,14,9.417834886328247,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,10,17.314837085567405,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
