trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-122.10061140516487,"{0: 12, 1: 2, 2: 2, 3: 3, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.9980019986673331}",25,0,-125.6308666753188,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.9960079893439915}",20,0,-96.10097686852549,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.9940179640539353}",20,0,-182.05490722506048,"{0: 8, 1: 3, 2: 5, 3: 2, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.9920319148370607}",20,8,-61.2309237579888,"{0: 4, 1: 4, 2: 3, 3: 1, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.9900498337491681}",25,8,-110.07120392036487,"{0: 9, 1: 1, 2: 4, 3: 2, 4: 1}",1
7,False,"{'a': 0.5, 'e': 0.9880717128619305}",25,0,-220.89835087558075,"{0: 11, 1: 3, 2: 6, 3: 2, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.9860975442628619}",25,0,-51.64297555974532,"{0: 18, 1: 4, 2: 1, 3: 2, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.9841273200552851}",20,0,-194.91519861835482,"{0: 7, 1: 5, 2: 4, 3: 1, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.9821610323583008}",20,0,-156.17021044638986,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.9801986733067553}",20,0,-92.24402351461906,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",1
12,False,"{'a': 0.5, 'e': 0.97824023505121}",25,0,-239.87827381904026,"{0: 13, 1: 0, 2: 7, 3: 1, 4: 4}",0
13,False,"{'a': 0.5, 'e': 0.9762857097579093}",20,0,-52.896294719124256,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.9743350896087494}",25,0,-102.7389703997975,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.9723883668012469}",25,0,-110.2880331693125,"{0: 17, 1: 2, 2: 2, 3: 3, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.9704455335485082}",25,0,-134.16468371797993,"{0: 14, 1: 2, 2: 6, 3: 2, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.9685065820791976}",20,0,-69.16156689540911,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.9665715046375066}",30,0,-159.87946339874767,"{0: 16, 1: 5, 2: 5, 3: 3, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.9646402934831231}",20,0,-120.79500337831087,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.9627129408911995}",30,0,-126.11951181392816,"{0: 17, 1: 3, 2: 9, 3: 0, 4: 1}",0
21,False,"{'a': 0.5, 'e': 0.9607894391523232}",20,8,-13.721273844899304,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
22,False,"{'a': 0.5, 'e': 0.9588697805724845}",20,0,-74.96010047877034,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
23,False,"{'a': 0.5, 'e': 0.9569539574730467}",25,0,-126.13685926159611,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
24,False,"{'a': 0.5, 'e': 0.9550419621907147}",25,0,-74.82710623530772,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
25,False,"{'a': 0.5, 'e': 0.9531337870775047}",25,5,-51.36815985153802,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",1
26,False,"{'a': 0.5, 'e': 0.951229424500714}",20,0,-50.22220251771691,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
27,False,"{'a': 0.5, 'e': 0.9493288668428895}",20,0,-63.91069632840237,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
28,False,"{'a': 0.5, 'e': 0.9474321065017983}",25,0,-59.05441014981755,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
29,False,"{'a': 0.5, 'e': 0.9455391358903963}",20,0,-79.49360175223578,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
30,False,"{'a': 0.5, 'e': 0.9436499474367985}",25,0,-109.60721970572037,"{0: 18, 1: 0, 2: 5, 3: 0, 4: 2}",0
31,False,"{'a': 0.5, 'e': 0.9417645335842487}",25,0,-73.16145411548139,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
32,False,"{'a': 0.5, 'e': 0.9398828867910889}",20,0,-90.68101823949999,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
33,False,"{'a': 0.5, 'e': 0.9380049995307295}",20,0,-77.55401716788936,"{0: 9, 1: 5, 2: 6, 3: 0, 4: 0}",0
34,False,"{'a': 0.5, 'e': 0.9361308642916188}",25,11,-107.65129437460601,"{0: 7, 1: 2, 2: 3, 3: 0, 4: 2}",1
35,False,"{'a': 0.5, 'e': 0.9342604735772135}",20,0,7.136848604374337,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
36,False,"{'a': 0.5, 'e': 0.9323938199059483}",20,0,-177.23760194107007,"{0: 10, 1: 3, 2: 3, 3: 1, 4: 3}",0
37,False,"{'a': 0.5, 'e': 0.9305308958112057}",30,0,-224.30234070572868,"{0: 16, 1: 4, 2: 6, 3: 0, 4: 4}",0
38,False,"{'a': 0.5, 'e': 0.9286716938412872}",30,0,-198.16094008134192,"{0: 16, 1: 5, 2: 5, 3: 1, 4: 3}",0
39,False,"{'a': 0.5, 'e': 0.9268162065593822}",30,0,-106.9759011375227,"{0: 19, 1: 3, 2: 7, 3: 0, 4: 1}",0
40,False,"{'a': 0.5, 'e': 0.9249644265435393}",20,0,-75.78630724768135,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
41,False,"{'a': 0.5, 'e': 0.9231163463866358}",25,0,-156.36726015886313,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
42,False,"{'a': 0.5, 'e': 0.9212719586963487}",20,0,-254.2218272450503,"{0: 8, 1: 3, 2: 3, 3: 1, 4: 5}",0
43,False,"{'a': 0.5, 'e': 0.9194312560951247}",20,0,-153.35570837545802,"{0: 9, 1: 3, 2: 5, 3: 1, 4: 2}",0
44,False,"{'a': 0.5, 'e': 0.9175942312201509}",25,0,-121.32631865036417,"{0: 13, 1: 1, 2: 9, 3: 2, 4: 0}",0
45,False,"{'a': 0.5, 'e': 0.9157608767233256}",20,0,-136.1393215726949,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
46,False,"{'a': 0.5, 'e': 0.9139311852712282}",20,0,-36.09897408841144,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
47,False,"{'a': 0.5, 'e': 0.9121051495450904}",35,0,-169.9978146945483,"{0: 21, 1: 3, 2: 8, 3: 1, 4: 2}",0
48,False,"{'a': 0.5, 'e': 0.910282762240767}",20,0,-110.54190526102481,"{0: 12, 1: 2, 2: 2, 3: 3, 4: 1}",0
49,False,"{'a': 0.5, 'e': 0.9084640160687062}",20,0,-112.38448861324851,"{0: 13, 1: 2, 2: 0, 3: 4, 4: 1}",0
50,False,"{'a': 0.5, 'e': 0.9066489037539209}",20,0,-82.70264483893614,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
51,False,"{'a': 0.5, 'e': 0.9048374180359595}",25,0,-165.97734577277276,"{0: 12, 1: 4, 2: 6, 3: 1, 4: 2}",0
52,False,"{'a': 0.5, 'e': 0.9030295516688768}",20,0,-54.686917054221205,"{0: 14, 1: 2, 2: 2, 3: 2, 4: 0}",0
53,False,"{'a': 0.5, 'e': 0.9012252974212047}",30,0,-120.83266350355795,"{0: 20, 1: 3, 2: 5, 3: 0, 4: 2}",0
54,False,"{'a': 0.5, 'e': 0.899424648075924}",20,0,-48.15396513455151,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
55,False,"{'a': 0.5, 'e': 0.8976275964304349}",20,0,-113.16252099379038,"{0: 10, 1: 1, 2: 8, 3: 0, 4: 1}",0
56,False,"{'a': 0.5, 'e': 0.8958341352965282}",30,0,-75.64139287028166,"{0: 22, 1: 1, 2: 5, 3: 2, 4: 0}",0
57,False,"{'a': 0.5, 'e': 0.8940442575003572}",25,0,-14.489340070301537,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
58,False,"{'a': 0.5, 'e': 0.8922579558824083}",30,0,-194.28215403927064,"{0: 18, 1: 2, 2: 6, 3: 1, 4: 3}",0
59,False,"{'a': 0.5, 'e': 0.8904752232974726}",30,0,-172.2637983698278,"{0: 15, 1: 4, 2: 9, 3: 0, 4: 2}",0
60,False,"{'a': 0.5, 'e': 0.8886960526146174}",25,0,-54.35210729245034,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 0}",0
61,False,"{'a': 0.5, 'e': 0.8869204367171575}",25,0,-72.82576945542057,"{0: 14, 1: 4, 2: 7, 3: 0, 4: 0}",0
62,False,"{'a': 0.5, 'e': 0.8851483685026271}",25,0,-167.66118304645636,"{0: 15, 1: 1, 2: 6, 3: 0, 4: 3}",0
63,False,"{'a': 0.5, 'e': 0.8833798408827509}",20,9,-58.64581255313086,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 1}",1
64,False,"{'a': 0.5, 'e': 0.8816148467834161}",30,0,-125.14033745973018,"{0: 18, 1: 2, 2: 8, 3: 1, 4: 1}",0
65,False,"{'a': 0.5, 'e': 0.8798533791446438}",20,0,-9.831063973802635,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
66,False,"{'a': 0.5, 'e': 0.8780954309205613}",20,0,-83.76061657165491,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 2}",0
67,False,"{'a': 0.5, 'e': 0.8763409950793732}",20,3,-109.84042929682103,"{0: 9, 1: 3, 2: 3, 3: 0, 4: 2}",1
68,False,"{'a': 0.5, 'e': 0.874590064603334}",20,4,-37.61495666439932,"{0: 10, 1: 4, 2: 1, 3: 1, 4: 0}",1
69,False,"{'a': 0.5, 'e': 0.8728426324887193}",25,4,-52.7244522533715,"{0: 15, 1: 0, 2: 5, 3: 1, 4: 0}",1
70,False,"{'a': 0.5, 'e': 0.8710986917457983}",20,0,-117.04393323352335,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
71,False,"{'a': 0.5, 'e': 0.8693582353988059}",20,0,-66.91013924046467,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
72,False,"{'a': 0.5, 'e': 0.867621256485914}",25,0,-166.6092106638561,"{0: 13, 1: 3, 2: 5, 3: 2, 4: 2}",0
73,False,"{'a': 0.5, 'e': 0.865887748059205}",35,0,-134.34883396272136,"{0: 23, 1: 5, 2: 5, 3: 0, 4: 2}",0
74,False,"{'a': 0.5, 'e': 0.8641577031846428}",25,1,-40.04690307380445,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 0}",1
75,False,"{'a': 0.5, 'e': 0.8624311149420455}",30,0,-181.59099341112096,"{0: 19, 1: 2, 2: 5, 3: 1, 4: 3}",0
76,False,"{'a': 0.5, 'e': 0.8607079764250578}",20,0,-176.29083723951098,"{0: 11, 1: 0, 2: 5, 3: 1, 4: 3}",0
