trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-85.26226654087715,"{0: 15, 1: 5, 2: 4, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-129.19024965678284,"{0: 10, 1: 0, 2: 8, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-123.63241915243971,"{0: 12, 1: 4, 2: 8, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-119.21206955513262,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-87.5734939869832,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-97.05479143884025,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-118.32747773020739,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-55.31046463247644,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-104.7004396837494,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",30,0,-105.04981680862093,"{0: 17, 1: 4, 2: 7, 3: 2, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,11,-60.43563056130487,"{0: 8, 1: 0, 2: 5, 3: 1, 4: 0}",1
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-92.18808670505956,"{0: 18, 1: 0, 2: 5, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",30,4,-145.4708098745171,"{0: 15, 1: 1, 2: 6, 3: 3, 4: 1}",1
14,False,"{'a': 0.5, 'e': 1.0}",35,24,-6.889231367197898,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-101.74347832076967,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",30,0,-240.09637225696486,"{0: 12, 1: 5, 2: 9, 3: 1, 4: 3}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-45.76226308495632,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-144.5874460212405,"{0: 11, 1: 4, 2: 6, 3: 4, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,0,-93.73054225196779,"{0: 21, 1: 3, 2: 4, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-124.53069985524925,"{0: 10, 1: 2, 2: 5, 3: 2, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,10,-35.69075046018696,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
2,True,"{'a': 0.5, 'e': 1.0}",30,0,-216.59847000345295,"{0: 11, 1: 6, 2: 10, 3: 1, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-119.45908051747229,"{0: 12, 1: 4, 2: 7, 3: 2, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-64.97346540842808,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-119.59845908161428,"{0: 15, 1: 0, 2: 9, 3: 0, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",30,0,-88.23322170773602,"{0: 20, 1: 4, 2: 5, 3: 0, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-138.30772146543794,"{0: 11, 1: 2, 2: 10, 3: 2, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-83.75539873721358,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-106.35987644985016,"{0: 19, 1: 1, 2: 2, 3: 1, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-155.72104574694552,"{0: 15, 1: 2, 2: 4, 3: 2, 4: 2}",0
