,trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success,average_reward_withoutrollwing,average_reward,reliability_rate,good_actions,good,minor,major,minor_acc,major_acc,epsilon,alpha
0,1,FALSE,"{'a': 0.5, 'e': 1.0}",20,0,-97.17726627,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0,-4.858863313,,,12,,,,,,1,0.5
1,2,FALSE,"{'a': 0.5, 'e': 1.0}",30,0,-218.868271,"{0: 15, 1: 4, 2: 6, 3: 2, 4: 3}",0,-7.295609032,,,15,,,,,,1,0.5
2,3,FALSE,"{'a': 0.5, 'e': 1.0}",25,0,-153.9258139,"{0: 13, 1: 3, 2: 6, 3: 1, 4: 2}",0,-6.157032555,,,13,,,,,,1,0.5
3,4,FALSE,"{'a': 0.5, 'e': 1.0}",30,0,-166.5290086,"{0: 17, 1: 7, 2: 3, 3: 0, 4: 3}",0,-5.550966954,,,17,,,,,,1,0.5
4,5,FALSE,"{'a': 0.5, 'e': 1.0}",20,0,-90.08903759,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",0,-4.50445188,,,14,,,,,,1,0.5
5,6,FALSE,"{'a': 0.5, 'e': 1.0}",30,0,-88.00214564,"{0: 20, 1: 5, 2: 3, 3: 1, 4: 1}",0,-2.933404855,,,20,,,,,,1,0.5
6,7,FALSE,"{'a': 0.5, 'e': 1.0}",20,6,-64.01491495,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 1}",1,-4.572493925,,,9,,,,,,1,0.5
7,8,FALSE,"{'a': 0.5, 'e': 1.0}",20,10,5.70750479,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1,0.570750479,,,9,,,,,,1,0.5
8,9,FALSE,"{'a': 0.5, 'e': 1.0}",20,0,-111.0181855,"{0: 9, 1: 4, 2: 6, 3: 0, 4: 1}",0,-5.550909277,,,9,,,,,,1,0.5
9,10,FALSE,"{'a': 0.5, 'e': 1.0}",25,0,-263.019228,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 5}",0,-10.52076912,-5.137375043,20,13,0.606619048,0.11147619,0.175428571,0.033,0.07347619,1,0.5
10,11,FALSE,"{'a': 0.5, 'e': 1.0}",20,0,-54.79601833,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0,-2.739800917,-4.925468804,20,16,0.626619048,0.10647619,0.160428571,0.033,0.07347619,1,0.5
11,12,FALSE,"{'a': 0.5, 'e': 1.0}",25,0,-84.13132631,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0,-3.365253052,-4.532433206,20,17,0.644619048,0.097142857,0.164428571,0.026333333,0.06747619,1,0.5
12,13,FALSE,"{'a': 0.5, 'e': 1.0}",20,0,-76.42709391,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0,-3.821354696,-4.29886542,20,13,0.657619048,0.095142857,0.160428571,0.022333333,0.06447619,1,0.5
13,14,FALSE,"{'a': 0.5, 'e': 1.0}",30,0,-80.88901802,"{0: 20, 1: 4, 2: 3, 3: 3, 4: 0}",0,-2.696300601,-4.013398784,20,20,0.667619048,0.085142857,0.160428571,0.032333333,0.05447619,1,0.5
14,15,FALSE,"{'a': 0.5, 'e': 1.0}",35,0,-118.443555,"{0: 21, 1: 3, 2: 9, 3: 2, 4: 0}",0,-3.384101572,-3.901363754,20,21,0.657619048,0.088714286,0.176142857,0.028047619,0.04947619,1,0.5
15,16,FALSE,"{'a': 0.5, 'e': 1.0}",25,0,-183.3859705,"{0: 15, 1: 2, 2: 4, 3: 0, 4: 4}",0,-7.33543882,-4.34156715,20,15,0.650952381,0.080047619,0.182142857,0.024714286,0.062142857,1,0.5
16,17,FALSE,"{'a': 0.5, 'e': 1.0}",25,0,-160.6788877,"{0: 14, 1: 3, 2: 4, 3: 2, 4: 2}",0,-6.427155506,-4.527033308,10,14,0.642666667,0.084904762,0.176714286,0.032714286,0.063,1,0.5
17,18,FALSE,"{'a': 0.5, 'e': 1.0}",25,0,-117.9257455,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0,-4.717029821,-5.055811338,0,16,0.616666667,0.096904762,0.182714286,0.032714286,0.071,1,0.5
18,19,FALSE,"{'a': 0.5, 'e': 1.0}",20,0,-83.33727565,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0,-4.166863782,-4.917406789,0,14,0.641666667,0.081904762,0.167714286,0.037714286,0.071,1,0.5
19,20,FALSE,"{'a': 0.5, 'e': 1.0}",20,0,-148.3575546,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0,-7.417877732,-4.60711765,0,10,0.639666667,0.087904762,0.172714286,0.038714286,0.061,1,0.5
20,1,TRUE,"{'a': 0.5, 'e': 1.0}",20,0,-78.0033722,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0,-3.90016861,-4.723154419,0,13,0.624666667,0.087904762,0.192714286,0.033714286,0.061,1,0.5
