trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-97.17726626791048,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",30,0,-218.86827096540765,"{0: 15, 1: 4, 2: 6, 3: 2, 4: 3}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-153.92581386945488,"{0: 13, 1: 3, 2: 6, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",30,0,-166.52900861603322,"{0: 17, 1: 7, 2: 3, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-90.08903759481805,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,0,-88.00214563772857,"{0: 20, 1: 5, 2: 3, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,6,-64.01491494660917,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 1}",1
8,False,"{'a': 0.5, 'e': 1.0}",20,10,5.707504790392734,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-111.01818554675378,"{0: 9, 1: 4, 2: 6, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-263.01922801342107,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 5}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-54.79601833387283,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-84.13132630868968,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-76.42709391491735,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",30,0,-80.88901802197323,"{0: 20, 1: 4, 2: 3, 3: 3, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",35,0,-118.44355500663431,"{0: 21, 1: 3, 2: 9, 3: 2, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-183.38597048963808,"{0: 15, 1: 2, 2: 4, 3: 0, 4: 4}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-160.67888765293557,"{0: 14, 1: 3, 2: 4, 3: 2, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-117.92574553116822,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-83.33727564890685,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-148.3575546345465,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-78.0033721991276,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
