name,sport,age,height,weight,country,sex,gold,silver,bronze,total
Lamusi A,Judo,23,170,60,People's Republic of China,M,0,0,0,0
A G Kruger,Athletics,33,193,125,United States of America,M,0,0,0,0
Jamale Aarrass,Athletics,30,187,76,France,M,0,0,0,0
Abdelhak Aatakni,Boxing,24,,,Morocco,M,0,0,0,0
Maria Abakumova,Athletics,26,178,85,Russian Federation,F,0,0,0,0
Luc Abalo,Handball,27,182,80,France,M,0,0,0,0
Maria Laura Abalo,Rowing,30,182,73,Argentina,F,0,0,0,0
Mohamed Abarhoun,Football,23,187,75,Morocco,M,0,0,0,0
Emanuele Abate,Athletics,27,190,80,Italy,M,0,0,0,0
Ilyas Abbadi,Boxing,19,170,,Algeria,M,0,0,0,0
Sohail Abbas,Hockey,37,,,Pakistan,M,0,0,0,0
Shakeel Abbasi,Hockey,28,,,Pakistan,M,0,0,0,0
Soulmaz Abbasiazad,Rowing,28,173,60,Islamic Republic of Iran,F,0,0,0,0
Simona Abbate,Water Polo,28,171,64,Italy,F,0,0,0,0
Ahmed Abd Elgaber,Football,22,171,62,Egypt,M,0,0,0,0
Reem Abdalazem,Synchronised Swimming,19,167,,Egypt,F,0,0,0,0
Mohamed Fawzi Abdalla,Football,22,175,63,United Arab Emirates,M,0,0,0,0
Mohamed Abdel Baki,Weightlifting,25,162,69,Egypt,M,0,0,0,0
Hesham Abdelaal,Boxing,18,167,,Egypt,M,0,0,0,0
Tarek Abdelazim,Weightlifting,25,175,85,Egypt,M,0,0,0,0
Shaza Abdelrahman,Synchronised Swimming,19,170,,Egypt,F,0,0,0,0
Mouni Abderrahim,Volleyball,26,171,60,Algeria,F,0,0,0,0
Youcef Abdi,Athletics,34,177,66,Australia,M,0,0,0,0
Abdihakem Abdirahman,Athletics,35,180,61,United States of America,M,0,0,0,0
Moustapha Abdoulaye Hima,Boxing,20,183,,Niger,M,0,0,0,0
Dana Abdul Razak,Athletics,26,165,55,Iraq,F,0,0,0,0
Magomed Abdulhamidov,Boxing,25,167,,Azerbaijan,M,0,0,0,0
Muminjon Abdullaev,Wrestling,22,,,Uzbekistan,M,0,0,0,0
Layes Abdullayeva,Athletics,21,170,47,Azerbaijan,F,0,0,0,0
Rasul Abduraim,Taekwondo,23,180,,Kyrgyzstan,M,0,0,0,0
Yusup Abdusalomov,Wrestling,34,173,84,Tajikistan,M,0,0,0,0
Saeid Morad Abdvali,Wrestling,22,170,66,Islamic Republic of Iran,M,0,0,0,0
Mojtaba Abedini,Fencing,27,179,82,Islamic Republic of Iran,M,0,0,0,0
Jennifer Abel,Diving,20,160,62,Canada,F,0,0,1,1
Yaritza Abel Rojas,Judo,28,,62,Cuba,F,0,0,0,0
Pablo Abian,Badminton,27,177,78,Spain,M,0,0,0,0
Tomomi Abiko,Athletics,24,173,53,Japan,F,0,0,0,0
Camille Abily,Football,27,168,60,France,F,0,0,0,0
Endurance Abinuwa,Athletics,25,159,54,Nigeria,F,0,0,0,0
Khalil Mahmoud K Abir Abdelrahman,Weightlifting,20,162,75,Egypt,F,0,0,0,0
Denis Ablyazin,Gymnastics - Artistic,20,161,,Russian Federation,M,0,0,0,0
Bukola Abogunloko,Athletics,17,170,53,Nigeria,F,0,0,0,0
Aminata Aboubakar Yacoub,Swimming,23,166,68,Congo,F,0,0,0,0
Rabah Aboud,Athletics,31,180,64,Algeria,M,0,0,0,0
Gabrielle Aboudi Onguene,Football,23,152,58,Cameroon,F,0,0,0,0
Alaaeldin Abouelkassem,Fencing,21,188,82,Egypt,M,0,1,0,1
Abouhalima Abouhalima,Wrestling,18,153,55,Egypt,M,0,0,0,0
Mohamed Aboutrika,Football,33,182,77,Egypt,M,0,0,0,0
Arnaldo Abrantes,Athletics,25,184,78,Portugal,M,0,0,0,0
Amir Abrashi,Football,22,172,70,Switzerland,M,0,0,0,0
Erika Abril,Athletics,34,158,47,Colombia,F,0,0,0,0
Laura Valentina Abril Restrepo,Cycling - Mountain Bike,22,162,50,Colombia,F,0,0,0,0
